Accents for lowercase letters	
000 	 grave 
001 	 acute 
002 	 circumflex
003 	 tilde 
004 	 umlaut
005 	 hungarian 
006 	 ring  
007 	 hachek
010 	 breve 
011 	 macron
012 	 dot above 
013 	 cedilla   
014 	 ogonek

Miscellaneous	
015 	 single base quote 
016 	 single opening guillemet 
017 	 single closing guillemet 
020 	 english opening quotes 
021 	 english closing quotes 
022 	 base quotes 
023 	 opening guillemets 
024 	 closing guillemets 
025 	 en dash 
026 	 em dash 
027 	 compound word mark (invisible)
030 	 perthousandzero
031 	 dotless i
032 	 dotless j
033 	 ligature ff
034 	 ligature fi
035 	 ligature fl
036 	 ligature ffi
037 	 ligature ffl
040 	 visible space

ASCII	
041 	 exclamation mark
042 	 straight quotes
043 	 hash mark
044 	 dollar sign
045 	 percent sign
046 	 ampersand
047 	 apostroph
050 	 opening parentheses
051 	 closing parentheses
052 	 asterisk
053 	 plus sign
054 	 comma
055 	 hyphen (note: not minus sign)
056 	 full stop
057 	 solidus
060 	 digit 0
...
071 	 digit 9
072 	 colon
073 	 semicolon
074 	 less than sign
075 	 equals sign
076 	 greater than sign
077 	 question mark
080 	 commercial at
081 	 capital letter A
...
132 	 capital letter Z
133 	 opening square bracket
134 	 backslash
135 	 closing square bracket
136 	 ASCII circumflex
137 	 underscore
140 	 opening quote (not ASCII grave!)
141 	 lowercase letter a
...
172 	 lowercase letter z
173 	 opening curly brace
174 	 vertical bar
175 	 closing curly brace
176 	 ASCII tilde
177 	 hyphenchar (hanging)

Letters for eastern european languages (from latin-2)	
200 	 capital letter A with breve
201 	 capital letter A eith ogonek
202 	 capital letter C with acute
203 	 capital letter C with hachek
204 	 capital letter D with hachek
205 	 capital letter E with hachek
206 	 capital letter E with ogonek
207 	 capital letter G with breve
210 	 capital letter L with acute
211 	 capital letter L with hachek
212 	 capital letter crossed L
213 	 capital letter N with acute
214 	 capital letter N with hachek
215 	 capital letter Eng
216 	 capital letter O with hungarian double acute
217 	 capital letter R with acute
220 	 capital letter R with hachek
221 	 capital letter S with acute
222 	 capital letter S with hachek
223 	 capital letter S with cedilla
224 	 capital letter T with hachek
225 	 capital letter T with cedilla
226 	 capital letter U with hungarian double acute
227 	 capital letter U with ring
230 	 capital letter Y with diaeresis
231 	 capital letter Z with acute
232 	 capital letter Z with hachek
233 	 capital letter Z with dot
234 	 capital letter IJ
235 	 capital letter I with dot
236 	 lowercase letter d with bar
237 	 section sign
240 	 lowercase letter a with breve
241 	 lowercase letter a with ogonek
242 	 lowercase letter c with acute
243 	 lowercase letter c with hachek
244 	 lowercase letter d with hachek
245 	 lowercase letter e with hachek
246 	 lowercase letter e with ogonek
247 	 lowercase letter g with breve
250 	 lowercase letter l with acute
251 	 lowercase letter l with hachek
252 	 lowercase letter crossed l
253 	 lowercase letter n with acute
254 	 lowercase letter n with hachek
255 	 lowercase letter eng
256 	 lowercase letter o with hungarian double acute
257 	 lowercase letter r with acute
260 	 lowercase letter r with hachek
261 	 lowercase letter s with acute
262 	 lowercase letter s with hachek
263 	 lowercase letter s with cedilla
264 	 lowercase letter t with hachek
265 	 lowercase letter t with cedilla
266 	 lowercase letter u with hungarain double acute
267 	 lowercase letter u with ring
270 	 lowercase letter y with diaeresis
271 	 lowercase letter z with acute
272 	 lowercase letter z with hachek
273 	 lowercase letter z with dot
274 	 lowercase letter ij
275 	 spanish inverted exclamation mark
276 	 spanish inverted question mark
277 	 pound sign 

Letters for western european languages (from latin-1)	
300 	 capital letter A with grave
301 	 capital letter A with acute
302 	 capital letter A with circumflex
303 	 capital letter A with tilde
304 	 capital letter A with diaeresis
305 	 capital letter A with ring
306 	 capital letter AE
307 	 capital letter C with cedilla
310 	 capital letter E with grave
311 	 capital letter E with acute
312 	 capital letter E with circumflex
313 	 capital letter E with diaeresis
314 	 capital letter I with grave
315 	 capital letter I with acute
316 	 capital letter I with circumflex
317 	 capital letter I with diaeresis
320 	 capital letter Edh (D with bar)
321 	 capital letter N with tilde
322 	 capital letter O with grave
323 	 capital letter O with acute
324 	 capital letter O with circumflex
325 	 capital letter O with tilde
326 	 capital letter O with diaeresis
327 	 capital letter OE
330 	 capital letter O with slash
331 	 capital letter U with grave
332 	 capital letter U with acute
333 	 capital letter U with circumflex
334 	 capital letter U with diaeresis
335 	 capital letter Y with acute
336 	 capital letter Thorn
337 	 capital letter Sharp S (deviating from latin-1)
340 	 lowercase letter a with grave
341 	 lowercase letter a with acute
342 	 lowercase letter a with circumflex
343 	 lowercase letter a with tilde
344 	 lowercase letter a with diaeresis
345 	 lowercase letter a with ring
346 	 lowercase letter ae
347 	 lowercase letter c with cedilla
350 	 lowercase letter e with grave
351 	 lowercase letter e with acute
352 	 lowercase letter e with circumflex
353 	 lowercase letter e with diaeresis
354 	 lowercase letter i with grave
355 	 lowercase letter i with acute
356 	 lowercase letter i with circumflex
357 	 lowercase letter i with diaeresis
360 	 lowercase letter edh
361 	 lowercase letter n with tilde
362 	 lowercase letter o with grave
363 	 lowercase letter o with acute
364 	 lowercase letter o with circumflex
365 	 lowercase letter o with tilde
366 	 lowercase letter o with diaeresis
367 	 lowercase letter oe
370 	 lowercase letter o with slash
371 	 lowercase letter u with grave
372 	 lowercase letter u with acute
373 	 lowercase letter u with circumflex
374 	 lowercase letter u with diaeresis
375 	 lowercase letter y with acute
376 	 lowercase letter thorn
377 	 lowercase letter sharp s (deviating from latin-1)
