# TeXdoc database file
# some documentation is included in .sty files only; texdoctk needs keys for
# extracting it at the beginning of the 4th field:
# -0-: no specific place; -1-: at end, behind \endinput; -2-: at beginning,
# terminated by %%%%%%; -3-: at beginning, terminated with blank line
@Fundamentals/general references
texguide;User's guide;latex/base/usrguide.dvi;tutorial, introduction, basics
l2kurz;Short Introduction to LaTeX (german);latex/general/l2kurz.dvi;tutorial, introduction, basics, german
lshort;Not So Short Introduction to LaTeX;latex/general/lshort.dvi;tutorial, introduction, basics, mathematics, graphics, layout, symbols, configuration
latex2e;LaTeX2e Manual;latex/general/latex2e.dvi;basics, commands, guide
guide;Survival guide for LaTeX on Unix;latex/general/guide.ps;tutorial, introduction, basics, fonts
latex-html;Hypertext Help with LaTeX commands;latex/latex2e-html/index.html;basics
symbols;LaTeX symbol table;latex/general/symbols.dvi;mathematics
uktugfaq;English FAQ from UK TUG;help/faq/uktug-faq/uktug-faq.pdf;tutorial, introduction, basics
pdftex;pdfTeX User Manual;pdftex/base/pdftexman.pdf;
pdftexfaq;pdfTeX FAQ;pdftex/base/pdfTeX-FAQ.pdf;
context1;ConTeXt: TeXEXEC manual;context/base/mtexexec.pdf;
KOMA;KOMA-Script User's Guide;latex/koma-script/scrguien.pdf;tutorial, introduction
KOMAg;KOMA-Script User's Guide (german);latex/koma-script/scrguide.pdf;tutorial, introduction
eplain;Expanded Plain TeX;eplain/eplain.dvi;tutorial, introduction, basics, reference, arrows, index, lists, layout, bibliography
etex;e-TeX Manual;etex/base/etex-man.dvi;tutorial, introduction, basics
omega;Omega manual;omega/base/doc-1.12.ps;introduction, basics, unicode
omegat;Omega manual;omega/base/torture.ps;unicode
AMSguide;AMS TeX Guide;amstex/amsguide.dvi; mathematics, math fonts, symbols
catalogue;The TeX Catalogue Online;help/Catalogue/catalogue.html;
CTAN;CTAN index;help/ctan/index.html;
#
@Administration
tetex;teTeX manual;tetex/TETEXDOC.pdf;tutorial, administration, configuration, installation, package
TDS;TeX Directory Structure;help/tds.dvi;administration
web2c;Introduction to web2c;programs/web2c.pdf;
web2cpol;web2c overview in polish;polish/web2c.html;polski
kpathsea;kpathsea library manual;programs/kpathsea.pdf;administration, configuration, fonts
cfgguide;LaTeX2e configuration guide;latex/base/cfgguide.dvi;tutorial, administration, format, hyphenation, fonts, graphics
fontinst;Font installation in TeX (fontinst);fontinst/base/fontinst.dvi;encoding, metrics
context2;ConTeXt Installation Guide;context/base/minstall.pdf;
patches;LaTeX Patches Guide;latex/base/patches.txt;
#
@Macro programming
csname;List of all unique TeX/AMS package control sequences;help/csname.txt;programming, macro
clsguide;Class/package writing fundamentals;latex/base/clsguide.dvi;programming
trace;Tracing macros for debugging (trace);latex/tools/trace.dvi;programming
ifthen;Conditional structures in LaTeX (ifthen);latex/base/ifthen.dvi;programming
at;New commands with the @ symbol (at);latex/mdwtools/at.dvi;programming
twoopt;Define commands with 2 optional arguments (twoopt);latex/oberdiek/twoopt.pdf;newcommand, macro, programming
xspace;Space control after macros (xspace);latex/tools/xspace.dvi;programming
doafter;TeX group handling (doafter);latex/mdwtools/doafter.dvi;programming
somedefs;Use selected definitions of package (somedefs);latex/tools/somedefs.dvi;programming
everysel;Execute something after every new font loading (everysel);latex/ms/everysel.dvi;programming
everyshi;Execute something before page shipout (everyshi);latex/ms/everyshi.dvi;programming
stdclsdv;Get sectional divisioning of classes (stdclsdv);latex/styles/stdclsdv.dvi;programming
localloc;Enhanced register allocation macros (localloc);generic/localloc/localloc.dvi;memory, programming
docstrip1;Package documentation writing/formatting (doc/shortvrb);latex/base/doc.dvi;programming
docstrip2;Package documentation writing/formatting (docstrip);latex/base/docstrip.dvi;programming
bibtexhak;BIBTeX Hacker's Guide (bibtex);bibtex/base/btxhak.dvi;references, citations
merlin;natbib master bibligraphic style (merlin);latex/custom-bib/merlin.dvi;references, citations
modguide;Modifying LaTeX;latex/base/modguide.dvi;programming
lppl;LaTeX Project Public License (LPPL) v.1.2;latex/base/lppl.txt;programming
#
@Accessory programs
dvipdfm;dvipdfm manual;programs/dvipdfm.pdf;
dvipsdoc;dvips;programs/dvips.pdf;PostScript, administration, configuration
bibtexdoc;BIBTeX documentation (bibtex);bibtex/base/btxdoc.dvi;references, citations
index;MakeIndex: Index preparation;makeindex/ind.dvi;
texinfo;Texinfo;programs/texinfo.dvi;
#
@General fonts
genfont1;General font usage;latex/base/fntguide.dvi;encoding
fontname;Reference list of font names;fonts/fontname/fontname.dvi;tutorial
guide;Survival guide for LaTeX on Unix;latex/general/guide.ps;tutorial, introduction, basics, fonts
inputenc;Input encoding (inputenc);latex/base/inputenc.dvi;
t1enc1;T1 font encoding overview (t1enc);latex/tools/fontsmpl.dvi;
textfit;Scaling text (textfit);latex/styles/textfit.dvi;
scalefnt;Scaling fonts (scalefnt);latex/carlisle/scalefnt.sty;
relsize;Relative font sizes (relsize);latex/misc/relsize.sty;-1-, scale
type1cm;Scalable type 1 CM fonts (type1cm);latex/styles/type1cm.txt;
cmtt;Special CM typewriter encoding (cmtt);latex/mdwtools/cmtt.dvi;
plfonts;Polish extension of CM fonts (PL);fonts/polish/pl/README.ENG;polski
pslatex;Times/Helvetica/Courier PostScript with LaTeX2e (pslatex);latex/pslatex/00readme.txt;PostScript, fonts
lucidabr;LaTeX support for Lucida Bright fonts (lucidabr);latex/psnfssx/lucidabr.txt;
LY1;Lucida bright fonts/encoding (LY1);latex/psnfssx/ly1.txt;
wasysym;WASY symbol fonts (wasysym);latex/wasysym/wasydoc.dvi;
marvosym;Marvosym symbol fonts (marvosym);fonts/marvosym/marvodoc.pdf;
stmaryrd;St. Mary's Road symbol font (stmaryrd);latex/styles/stmaryrd.dvi;
ccfonts;Concrete fonts (ccfonts);latex/ccfonts/ccfonts.dvi;
beton;Automatic use of Concrete fonts (beton);latex/styles/beton.dvi;
cbgreek;Greek fonts (cbgreek);fonts/cbgreek/cbgreek.txt;
yfonts;Usage of old german fonts (yfonts);latex/yfonts/yfonts.dvi;
oldgerm;Old german fonts (oldgerm);latex/mfnfss/oldgerm.dvi;
mflogo;The logo font family (mflogo);latex/styles/mflogo.dvi;Metafont logo
rawfonts;Emulate 2.09 font commands & load fonts (rawfonts);latex/tools/rawfonts.dvi;compatibility
#
@Languages/national specials
babel;Languages (babel);generic/babel/user.dvi;hyphenation
MLTeX;Multilingual TeX (MLTeX);latex/mltex/mltex.txt;
cyrguide;Cyrillic languages in LaTeX;latex/base/cyrguide.dvi;
cyinpenc;Cyrillic input encoding tables;latex/cyrillic/cyinpenc.dvi;
cyoutenc;Cyrillic font encoding tables;latex/cyrillic/cyoutenc.dvi;
ntgclass;Dutch document classes;latex/ntgclass/ntgclass.dvi;
articlex;Dutch extended article class;latex/ntgclass/artdoc.dvi;
rapdoc;Dutch extended report class;latex/ntgclass/rapdoc.dvi;
